GID,ENTRY!,DESIGNATION,PARENTS,ENTRYNO,PLOT,SOURCE,MATGP!,REP!,ROW,COLUMN,FLW,MATURITY,PLTHGT,TILLER,14MC,PLOTYIELD,MISSHILL,CPY,GRNYLD(Y/ha),BLAST,BB1,BPH,GLH,HARVESTDATE
3426751,IR12N183,IR 91070-73-1-3-2,IR05N128/IR06M139,B3393,1,B5344,1,1,1,1,86,116,119,14,12.5,6080,1,6112,8226,0,1,3,3,2013-04-11
3426267,IR12A232,IR 91104-9-2-2-1,IR06F434/IR07F289,A3293,2,A5212,1,1,1,2,86,116,117,15,11.6,6680,,,9083,3,1,3,5,2013-04-11
3426611,IR12A166,IR 91028-123-3-3-3,IR01A111/MTU 1010,A3264,3,A5146,1,1,1,3,82,112,108,21,9.1,6047,,,8454,3,1,9,5,2013-04-08
2433014,IR09N531,IR 83704-18-3-2-2,IR04N114/IR 73459-120-2-2-3//KHAO KHAE,B3343,4,B2783,1,1,1,4,84,114,107,18,9.1,6042,,,8447,2,1,7,5,2013-04-08
2524953,IR09A131,IR 83850-4-3-3-2,IR 77080-B-34-3/IRRI 135,A3230,5,A2717,1,1,1,5,81,111,101,16,11.8,4411,3,4482,6080,3,1,5,3,2013-04-04
3426287,IR12A236,IR 91106-59-3-1-3,MTU 1010/IR06M139,A3294,6,A5216,1,1,1,6,83,113,128,12,11.7,6256,,,8496,3,1,3,3,2013-04-04
2432999,IR09N533,IR 83704-78-2-3-2,IR04N114/IR 73459-120-2-2-3//KHAO KHAE,B3345,7,B2830,1,1,1,7,82,112,98,18,9.9,6468,,,8963,2,1,5,3,2013-04-08
1254166,IR04A381,IR 78545-49-2-2-2,IR 71137-184-3-2-3-3/IR 72875-94-3-3-2,A3208,8,A2706,1,1,1,8,81,111,91,17,10.9,4929,3,5009,6864,4,1,3,5,2013-04-04
3425477,IR12A140,IR 90243-14-1-3-1-3,"[IRRI 123,IR 71146-97-1-2-1-3,IR 71676-90-2-2,IR 72870-19-2-2-3,IRRI 143,IR04A285,IR03A550,IR 72967-12-2-3,IR 72903-121-2-1-2,IRRI 119]",A3258,9,A5120,1,1,1,9,82,112,101,15,11.1,4764,6,4920,6728,0,1,9,3,2013-04-04
2349314,CIHERANG,CIHERANG,IR 18349-53-1-3-1-3/2*IR 19661-131-3-1-3//IR 5657-33-2-1/IR 2061-465-1-5-5,F3440,10,F2163,1,1,1,10,86,116,99,13,11,5960,,,8159,1,1,5,7,2013-04-08
3425852,IR12A156,IR 91027-64-2-1-3,IR01A111/IR06M139,A3261,11,A5136,1,1,1,11,90,120,109,19,14,6359,3,6462,8547,1,1,5,5,2013-04-13
3022800,IR11A208,IR 87477-83-1-2-1,IR00A107/IR 72875-94-3-3-2,A3248,12,A2166,1,1,1,12,83,113,98,20,9,5199,,,7277,1,7,9,5,2013-04-08
3426043,IR12N186,IR 91075-37-3-2-2,IR05N160/IR06M139,B3394,13,B5347,1,1,1,13,88,118,102,13,13.3,6403,1,6437,8584,3,1,3,5,2013-04-11
3426349,IR12A255,IR 91123-3-3-3-2,IRRI 123/IR06M139,A3300,14,A5235,1,1,1,14,80,110,98,18,11,5828,,,7978,0,1,3,3,2013-04-04
50533,IR64,IR 64,IR 5657-33-2-1/IR 2061-465-1-5-5,A3443,15,A2745,1,1,1,15,95,125,101,15,13.8,5678,,,7528,1,1,7,5,2013-04-15
3426083,IR12N191,IR 91076-32-1-2-3,IR05N160/MTU 1010,B3397,16,B5352,1,1,1,16,88,118,114,22,11.2,6538,1,6573,8977,2,1,5,5,2013-04-15
3426617,IR12A167,IR 91028-146-3-3-3,IR01A111/MTU 1010,A3265,17,A5147,1,1,1,17,79,109,109,23,10.5,4557,,,6273,0,1,5,7,2013-04-04
3426975,IR12N232,IR 92239-29-2-3-1,IR02N211/TEQING,B3416,18,B5393,1,1,1,18,90,120,102,16,11.7,6509,1,6544,8887,0,1,7,5,2013-04-13
1201417,IR03A500,IR 77533-29-2-2-2,IR 69713-43-1-3-2-3/IRRI 115,A3205,19,A3102,1,1,1,19,94,124,95,22,13.8,5258,9,5521,7320,3,1,5,3,2013-04-15
3426937,IR12A274,IR 92237-28-3-2-2,IRRI 145/TEQING,A3305,20,A5254,1,1,1,20,89,119,102,16,13.1,6651,1,6686,8937,0,1,3,7,2013-04-11
1254078,IRRI156,NSIC 2011 RC 238,IR 72870-102-2-2-1-3/IR 72870-19-2-2-3,A3450,21,A2178,1,1,1,21,85,115,108,14,12.5,6195,,,8337,1,1,9,3,2013-04-04
2220401,IR07A183,IR 81363-86-2-3-2-2,IR 77080-B-34-1-1/IR 77776-B-8-1-2,A3216,22,A2802,1,1,1,22,84,114,101,12,10.3,5946,,,8203,3,1,3,5,2013-04-04
1036519,IR02A477,IR 76993-49-1-1,IRRI 145/IR00A107,A3202,23,A2702,1,1,1,23,86,116,85,12,11.9,4474,2,4522,6127,2,1,5,5,2013-04-04
3426785,IR12A217,IR 91095-47-3-2-3,IR06M139/IRRI 135,A3286,24,A5197,1,1,1,24,85,115,106,17,11.5,5544,,,7547,2,5,5,7,2013-04-08
3522627,IR12N264,IR 91041-87-3-2-2,IRRI 146/PUSA BASMATI,B3425,25,A5516,1,1,1,25,89,119,119,15,13.4,6881,,,9165,3,1,5,5,2013-04-13
1838109,IR06M141,IR 80482-57-2-2-3,MEM BERANO/PADI ABANG GOGO,M3431,26,M2837,1,1,2,25,79,109,97,20,10.4,5308,1,5336,7354,0,1,9,5,2013-04-04
2465457,IR09A162,IR 83304-519-2-2-3-2,IR 65620-192-3-3-3-2/IR 77084-B-5-1-1,A3233,27,A2720,1,1,2,24,82,112,104,16,9.4,5875,,,8187,3,1,7,3,2013-04-08
3426148,IR12A211,IR 91091-11-2-3-2,IR06M138/BRRI DHAN 29,A3285,28,A5191,1,1,2,23,91,121,118,15,11.5,7067,,,9620,0,1,5,7,
3522715,IR12N272,IR 91068-20-3-3-3,IR05N128/IRRI 143,B3428,29,A5524,1,1,2,22,94,124,111,13,10.9,6050,,,8291,0,1,3,3,
