Env,Gen,Blk,YLD1
ENV1,IRRI 144,1,1693
ENV1,IR 96832-39-2-1,1,2629
ENV1,IR08M118,1,3154
ENV1,IR 110621-C1-C2-B-B-B-149-1,1,3531
ENV1,IR 75084-15-3,1,3653
ENV1,IR 65483-118-5-7-14-13-B,1,3727
ENV1,IRRI 135,2,3759
ENV1,IR10M144,1,3966
ENV1,IR10K152,1,4370
ENV1,IR 110621-C1-C2-B-B-B-12-1,1,4438
ENV1,IR03A500,1,4498
ENV1,IR 75084-15-3,2,4554
ENV1,IR12A270,1,4585
ENV1,IR09A116,2,4665
ENV1,IR 88632-37-2-3-B,2,4791
ENV1,IR 75870-8-1,1,4848
ENV1,IR13N176,1,4857
ENV1,IRRI 142,1,4872
ENV1,IR 79971-B-191-B-B,1,4972
ENV1,IR09A172,1,4997
ENV1,IR09N307,1,4997
ENV1,IR 65483-118-5-7-14-13-B,2,4997
ENV1,IR07A266,1,5024
ENV1,IR10N189,1,5057
ENV1,IRRI 148,1,5117
ENV1,IR13N220,1,5277
ENV1,IRRI 139,1,5306
ENV1,IR 79971-B-191-B-B,2,5328
ENV1,IR10N189,2,5334
ENV1,NSIC RC 160,4,5362
ENV1,IR 44,2,5427
ENV1,IR 88632-37-2-3-B,1,5435
ENV1,IRRI 105,1,5451
ENV1,IR 96890-85-2-3,1,5452
ENV1,IR09N528,1,5453
ENV1,IRRI 156,2,5479
ENV1,IR 96890-85-2-2,1,5495
ENV1,IRRI 105,1,5510
ENV1,JINMIBYEO,2,5530
ENV1,IR13A261,1,5532
ENV1,IR09N517,2,5578
ENV1,IR 82355-5-1-3,1,5601
ENV1,NSIC RC 160,3,5626
ENV1,IR04A212,2,5641
ENV1,IR 103806-532-B RGA,1,5678
ENV1,IR09N518,2,5725
ENV1,IRRI 105,2,5760
ENV1,IR 96832-39-2-2,1,5771
ENV1,IR 22,2,5773
ENV1,IRRI 156,1,5785
ENV1,IRRI 165,2,5792
ENV1,IR 32,1,5794
ENV1,IR 95881-85-2-3-2,1,5798
ENV1,NSIC RC 160,5,5806
ENV1,IR09N527,1,5823
ENV1,IR06N141,2,5828
ENV1,IRRI 148,2,5831
ENV1,IR 75870-8-1,2,5837
ENV1,IR BB 62,1,5838
ENV1,IR 65,1,5846
ENV1,IRRI 168,5,5872
ENV1,IR 56,1,5884
ENV1,IR10N137,1,5895
ENV1,IR04N114,1,5913
ENV1,IR 110626-B-B-B-3-1,1,5930
ENV1,IR09N512,1,5949
ENV1,NSIC RC 160,1,5953
ENV1,IRRI 127,1,5954
ENV1,IR13A101,1,5955
ENV1,IRRI 156,1,5996
ENV1,IR13N205,1,6000
ENV1,IR13A396,1,6005
ENV1,IR13N135,1,6012
ENV1,IR09N519,1,6013
ENV1,IRBB 21,2,6046
ENV1,IRRI 161,1,6063
ENV1,IR10N121,1,6079
ENV1,IR09N144,1,6090
ENV1,IRRI 134,2,6096
ENV1,IR03A290,2,6115
ENV1,IRRI 134,1,6121
ENV1,IR 96890-85-2-1,1,6132
ENV1,IRRI 124,1,6142
ENV1,IR04A381,2,6153
ENV1,IR13A329,1,6154
ENV1,IR10K152,2,6158
ENV1,FEDEARROZ 50,2,6161
ENV1,IR10N288,1,6167
ENV1,IR13A429,1,6172
