Site,Designation,HT_CONT,Rep,Row,Col
Env1,IR10N263,71,1,30,4
Env1,IR10N259,78,2,33,2
Env1,IR10N186,78,1,25,1
Env1,IR10N134,68,1,24,4
Env1,IR10A134,78,1,4,3
Env1,IR09N199,76,2,20,3
Env1,IR09A235,75,1,13,2
Env1,IR07A183,78,2,19,3
Env1,IR 72,45,2,18,1
Env1,IR 64-PUP1-M,68,1,29,2
Env1,IR11N121,72,1,8,4
Env1,IR11A583,86,2,32,2
Env1,IR10N269,71,1,30,3
Env1,IR 64,71,1,17,4
Env1,CIHERANG-SUB1,72,1,19,4
Env1,IR10N237,85,1,25,4
Env1,IRRI 119,77,2,26,2
Env1,IR 74-Pup1-C,53,2,32,2
Env1,IR 74-Pup1-A,59,1,3,4
Env1,IR74,55,2,7,2
Env1,IR11N205,98,1,2,4
Env1,IR11A334,85,1,20,4
Env1,IR11A334,75,2,11,2
Env1,IR11A325,84,1,27,3
Env1,IR11A303,77,1,35,3
Env1,IR11A297,74,2,24,1
Env1,IR11A193,80,2,27,1
Env1,IR11A151,81,2,25,1
Env1,IR10N362,66,2,31,1
Env1,IR10N305,78,2,36,2
Env1,IR10N289,80,1,2,3
Env1,IR10N271,64,2,4,1
Env1,IR10N160,93,1,31,3
Env1,IR10N148,93,1,31,4
Env1,IR10A231,84,1,13,4
Env1,IR09N507,79,1,34,3
Env1,IR09N212,97,1,30,4
Env1,IR09A224,81,1,14,3
Env1,IR08A176,86,2,9,1
Env1,IR08A172,76,1,24,3
Env1,IR06N127,75,2,16,2
Env1,IR06A155,76,1,15,3
Env1,IR06A150,80,2,1,2
Env1,IR05N419,77,2,10,1
Env1,IR05N173,64,2,5,1
Env1,IRRI 168,69,5,11,1
Env1,IRRI 168,70,2,16,2
Env1,IRRI 168,69,3,26,2
Env1,IRRI 156,77,1,29,3
Env1,IR10A152,75,1,33,4
Env1,IR 84636-13-12-2-6-3-3-2-2-B,87,4,25,2
Env1,IR64-NIL 5,68,2,8,2
Env1,IR64-NIL 5,67,1,18,4
Env1,IR64-NIL 5,92,4,22,1
Env1,IR 64,69,1,12,4
Env1,IR11A584,80,1,27,2
Env1,IRRI 146,65,3,12,4
Env1,IRRI 122,65,2,26,1
Env1,IRRI 104,55,1,12,2
Env1,IR12A166,82,1,25,4
Env1,IR11A583,93,1,24,3
Env1,IR06N155,81,1,37,3
Env1,IR09N522,72,1,4,4
Env1,IR10N237,79,2,9,2
Env1,IR10N259,77,1,27,4
Env1,IR10N186,73,2,7,1
Env1,IR10A267,71,1,36,4
Env1,IR10A127,73,2,8,3
Env1,IR09N522,72,2,16,4
Env1,IR09A228,70,2,37,4
Env1,IR08N150,77,1,5,4
Env1,IR07A107,69,1,6,4
Env1,IRRI 174,69,1,35,1
Env1,IRRI 174,69,2,5,1
Env1,IR 64,77,2,15,2
Env1,IR12N121,75,2,2,2
Env1,IR11W109,69,2,11,1
Env1,IR10N272,70,2,30,2
Env1,IR10N272,73,1,17,2
Env1,IR10N270,75,2,12,3
Env1,IR64-NIL 5,92,3,28,1
Env1,NSIC 2013 RC 336,103,2,35,1
Env1,NSIC 2011 RC 282,84,2,28,2
Env1,IRRI 151,76,1,29,4
Env1,IR 74-Pup1-D,55,2,29,1
Env1,IR 74-Pup1-C,64,1,33,4
Env1,IR 74-Pup1-B,61,1,27,4
Env1,IR 74-Pup1-A,56,2,29,2
Env1,IR74,61,1,34,4
Env1,IR12N135,86,1,20,3
Env1,IR12N130,62,1,11,3
Env1,IR12N130,65,2,21,2
Env1,IR11N202,99,1,35,4
Env1,IR11A483,76,2,15,2
Env1,IR11A314,83,2,15,1
Env1,IR11A306,76,2,2,2
Env1,IR11A297,81,1,17,4
Env1,IR11A293,76,2,37,1
Env1,IR11A293,80,1,5,4
Env1,IR11A282,111,1,25,3
Env1,IR11A279,78,2,16,1
Env1,IR11A193,85,1,15,4
Env1,IR11A192,95,1,19,4
Env1,IR10N362,66,1,10,3
Env1,IR10N304,63,1,1,3
Env1,IR10N292,99,1,26,4
Env1,IR10N291,78,2,31,2
Env1,IR10N238,83,1,8,3
Env1,IR10N238,79,2,37,2
Env1,IR10N225,70,1,9,4
Env1,IR10N205,79,1,36,4
Env1,IR10A227,79,2,18,2
Env1,IR09N523,79,2,12,2
Env1,IR09N523,87,1,32,3
Env1,IR09N260,74,1,9,3
Env1,IR09N260,72,2,7,1
Env1,IR09N251,73,2,5,2
Env1,IR09N190,78,1,23,4
Env1,IR09A225,73,1,5,3
Env1,IR09A225,72,2,27,2
Env1,IR08N134,81,1,7,4
Env1,IR07A234,79,2,28,1
Env1,IR06N127,80,1,28,3
Env1,IR05N341,86,2,30,1
Env1,IR05N173,74,1,33,3
Env1,IR10N276,65,2,37,1
Env1,IRRI 123,69,2,15,3
Env1,IR 84636-13-12-2-6-3-3-2-2-B,80,3,1,2
Env1,IR 84636-13-12-2-6-3-3-2-2-B,70,2,11,3
Env1,IR 64,96,2,26,3
